codgeo;libgeo;an;pop65p
01246;Mézériat;2022;489
01247;Mijoux;2022;46
01248;Mionnay;2022;336
01249;Miribel;2022;1708
01250;Misérieux;2022;318
01252;Mogneneins;2022;140
01254;Montagnat;2022;434
01255;Montagnieu;2022;119
01257;Montanges;2022;58
01258;Montceaux;2022;214
01259;Montcet;2022;93
01260;Le Montellier;2022;39
01261;Monthieux;2022;121
01262;Montluel;2022;1303
01263;Montmerle-sur-Saône;2022;864
01264;Montracol;2022;178
01265;Montréal-la-Cluse;2022;664
01266;Montrevel-en-Bresse;2022;834
01267;Nurieux-Volognat;2022;219
01268;Murs-et-Gélignieux;2022;62
01269;Nantua;2022;769
01272;Neuville-les-Dames;2022;387
01273;Neuville-sur-Ain;2022;330
01274;Les Neyrolles;2022;101
01275;Neyron;2022;505
01276;Niévroz;2022;239
01277;Nivollet-Montgriffon;2022;25
01279;Oncieu;2022;20
01280;Ordonnaz;2022;40
01281;Ornex;2022;588
01282;Outriaz;2022;57
01283;Oyonnax;2022;4204
01284;Ozan;2022;107
01285;Parcieux;2022;202
01286;Parves et Nattages;2022;230
01288;Péron;2022;290
01289;Péronnas;2022;1766
01290;Pérouges;2022;311
01291;Perrex;2022;190
01293;Peyriat;2022;35
01294;Peyrieu;2022;165
01295;Peyzieux-sur-Saône;2022;65
01296;Pirajoux;2022;68
01297;Pizay;2022;119
01298;Plagne;2022;39
01299;Le Plantay;2022;85
01301;Polliat;2022;635
01302;Pollieu;2022;46
01303;Poncin;2022;374
01304;Pont-d'Ain;2022;580
01305;Pont-de-Vaux;2022;692
01306;Pont-de-Veyle;2022;465
01307;Port;2022;187
01308;Pougny;2022;141
01309;Pouillat;2022;23
01310;Prémeyzel;2022;28
01311;Prémillieu;2022;13
01313;Prévessin-Moëns;2022;906
01314;Priay;2022;292
01317;Ramasse;2022;48
01318;Rancé;2022;98
01319;Relevant;2022;83
01320;Replonges;2022;794
01321;Revonnas;2022;158
01322;Reyrieux;2022;1010
01323;Reyssouze;2022;242
01325;Rignieux-le-Franc;2022;209
01328;Romans;2022;155
01329;Rossillon;2022;36
01331;Saint-Alban;2022;30
01332;Saint-André-de-Bâgé;2022;154
01333;Saint-André-de-Corcy;2022;816
01334;Saint-André-d'Huiriat;2022;101
01335;Saint-André-le-Bouchoux;2022;51
01336;Saint-André-sur-Vieux-Jonc;2022;231
01337;Saint-Bénigne;2022;293
01338;Groslée-Saint-Benoit;2022;279
01339;Saint-Bernard;2022;430
01342;Sainte-Croix;2022;71
01343;Saint-Cyr-sur-Menthon;2022;333
