,nofinesset,rs,coordx,coordy
77,030005540,PHARMACIE BARSE,"732,485.2","6,558,492.3"
78,030002331,PHARMACIE GUILLERAULT,"752,207.1","6,602,562.5"
79,030001622,PHARMACIE  E. ROSSEEL-PAILLERET,"704,427","6,609,519.2"
80,030003677,PHARMACIE GUITTARD,"669,123.6","6,582,865.1"
81,030003727,PHARMACIE ALZIAL,"668,945.9","6,583,108.5"
82,030004360,PHARMACIE BOURGEON,"709,480.7","6,597,811.3"
83,030006225,SERVICE MANDATAIRE DU C.C.A.S.,"729,946.6","6,557,074.7"
84,030001366,SELARL PHARMACIE DUC,"724,097.8","6,609,892.2"
85,030002430,PHARMACIE ROUSSILLON-DURIN,"684,348.8","6,581,787.4"
86,030005680,PHARMACIE BOUCHANT,"726,493.5","6,607,775.2"
87,030006381,CTRE AIDE PERSON AGEES MALADES MOULINS,"725,644.5","6,607,210.4"
88,030005011,PHARMACIE GREIL - GRANDE,"732,076","6,560,191.6"
89,030006027,CENTRE ACTION MEDICO-SOCIALE PRECOCE,"724,989.4","6,608,121.2"
90,030005490,PHARMACIE  DEMONNET - COLOMBIER,"732,542.3","6,558,373.1"
91,030006514,SERVICE D'AIDE AUX PERSONNES AGEES,"748,559","6,572,196.9"
92,030780605,EHPAD DE GAYETTE,"734,516.1","6,581,532"
93,030780969,EHPAD  D'ECHASSIERES,"695,005.4","6,564,784.8"
94,030005524,PHARMACIE MARANDON,"732,524.5","6,558,410.2"
95,030780035,ETABLISSEMENT THERMAL,"673,812.7","6,576,570.1"
96,030006613,CENTRE D'IMAGERIE MEDICALE,"670,604.8","6,582,804.6"
97,030006142,SSU - MONTLUCON,"668,392.4","6,580,776.9"
98,030780944,EHPAD DE COSNE D'ALLIER,"687,626.4","6,598,060.6"
99,030780936,EHPAD LA VIGNE AU BOIS,"686,392.6","6,613,092.4"
100,030781389,CENTRE SOCIAL RURAL,"659,269.1","6,581,960.1"
101,030781421,CENTRE DE SANTE DENTAIRE MUTUALISTE,"725,349.5","6,607,108.3"
102,030782775,LOGEMENT-FOYER,"706,073.3","6,566,617.1"
103,030782866,SCE PREVENTION SPECIALISEE (A.D.S.E.A),"725,829","6,606,674.6"
104,030783559,FOYER DE VIE,"706,736.7","6,557,341.3"
105,030784342,SCE AIDE MENAG DOM PERS AGEES,"723,919","6,589,633.8"
106,030785315,CENTRE D'EXAMENS DE SANTE-ISBA-,"725,303.2","6,606,965.7"
107,030785026,EHPAD LA BELLE RIVE,"732,407.5","6,557,133.6"
108,030784755,SCE AIDE MENAG DOM PERS AGEES,"669,762.2","6,604,082"
109,030785950,RESIDENCE SAINT PRIVAT,"751,910.3","6,611,897.1"
110,030785737,"EHPAD ""LES VIGNES""","752,048.5","6,602,474"
111,030785224,SSIAD CH NÉRIS LES BAINS,"673,940.2","6,576,676.1"
112,030786115,ESAT DE ST HILAIRE,"701,718.7","6,599,289.5"
113,030786180,SERV. TRAVAILLEUSES FAMILIALES,"724,987.2","6,607,381.7"
114,030785844,MAISON D'ACCUEIL SPECIALISEE D'YZEURE,"725,924.2","6,608,192.3"
115,030786321,SERVICE D'ENQUETES SOCIALES,"723,684.6","6,609,684.7"
116,030786149,EFS AURA - MONTLUCON,"669,899.5","6,582,609.7"
117,010004034,PHARMACIE DE JUJURIEUX,"886,137.9","6,551,825.1"
118,010001436,SSIAD DU CHAVS - PONT DE VEYLE,"845,526","6,575,473.2"
119,010003754,PHARMACIE DE LA POTERIE,"940,290.6","6,577,381.5"
120,010004455,PHARMACIE  DELVIL-LARTAUD,"859,637.7","6,529,932.2"
