BOR,AN,420,FI_EJ,LIT_MED,JLI_MED,SEJHC_MED,SEJ0_MED,JOU_MED,LIT_CHI,JLI_CHI,SEJHC_CHI,SEJ0_CHI,JOU_CHI,LIT_OBS,JLI_OBS,SEJHC_OBS,SEJ0_OBS,JOU_OBS,LIT_MCO,JLI_MCO,SEJHC_MCO,SEJ0_MCO,JOU_MCO,PLA_MED,SEJHP_MED,PLAN_MED,SEJN_MED,SEA_MED,PLA_CHI,SEJHP_CHI,PLA_OBS,SEJHP_OBS,PLAN_OBS,SEJN_OBS,PLA_MCO,SEJHP_MCO,PLAN_MCO,SEJN_MCO,SEA_MCO,PCAR,PDER,PEND,PGAS,PNEU,PPED,PPNE,PRHU,POPH,DEND,DNEU,DPED,DOPH,ACTCLI_PM,ACTCLI_SAG,ACTTEC_PM,ACTTEC_DEN,ACTTEC_SAG,ACTTEC_PNM
MCO,2018,350000188,350000055,83,30295,4566,306,25694,21,7665,1557,346,6616,17,6448,920,56,3864,121,44408,7043,708,36174,14,1812,,,818,0,0,0,82,,,14,1894,,,818,1,0,1,1,0,1,1,0,0,35,,35,,25677,5119,41147,0,37819,453
MCO,2018,350000196,350000311,5,1825,174,2,870,64,23360,6640,3589,7912,,,0,0,0,69,25185,6814,3591,8782,,0,,,3630,20,4256,,0,,,20,4256,,,3630,,,,,,,,,,,,,,,,,,,
MCO,2018,350000204,350023248,15,5475,437,7,4302,,,0,0,0,,,0,0,0,15,5475,437,7,4302,,0,,,5,,0,,0,,,,0,,,5,,,,,,,,,,,,,,,,,,,
MCO,2018,350000212,350000089,20,7300,356,3,5539,,,0,0,0,,,0,0,0,20,7300,356,3,5539,,0,,,0,,0,,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,350000410,350002291,15,5475,261,2,4721,,,0,0,0,,,0,0,0,15,5475,261,2,4721,,0,,,0,,0,,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,153,,825,503,,
MCO,2018,350000436,350002317,15,5475,227,6,3982,0,0,0,0,0,0,0,0,0,0,15,5475,227,6,3982,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,350000444,350048518,12,4380,300,4,3576,,,0,0,0,,,0,0,0,12,4380,300,4,3576,,0,,,0,,0,,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,350000451,350002333,18,6570,25,0,432,,,0,0,0,,,0,0,0,18,6570,25,0,432,,0,,,0,,0,,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,350000741,350005179,615,204992,37500,6096,193392,288,100175,13735,387,86287,,,0,0,0,903,305167,51235,6483,279679,82,10595,2,170,25166,24,6768,,0,,,108,17363,2,170,25166,1,1,1,1,1,0,1,0,1,,,,,208322,3,169031,16309,2,80788
MCO,2018,350002192,220020739,131,47815,8365,526,35405,38,13870,1544,43,4060,0,0,0,0,0,169,61685,9909,569,39465,8,2656,0,,1326,19,5819,0,0,,,27,8475,0,,1326,1,0,0,1,1,0,1,0,1,,,,210,,0,,,,
MCO,2018,350002200,350029948,7,2555,314,2,2009,,,0,0,0,,,0,0,0,7,2555,314,2,2009,,0,,,0,,0,,0,,,,0,,,0,0,0,0,1,0,0,0,0,0,,,,,1473,0,267,0,0,0
MCO,2018,350002804,350000626,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,,,11558,,0,,0,,,,0,,,11558,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,350002812,350023503,45,13980,1942,108,10364,15,4900,606,0,1285,,,0,0,0,60,18880,2548,108,11649,3,510,,,57499,6,1239,,0,,,9,1749,,,57499,0,0,0,0,0,0,0,0,0,,,,,31921,,27700,,,6829
MCO,2018,350005021,440042844,76,27740,2027,15,24353,,,0,0,0,,,0,0,0,76,27740,2027,15,24353,7,1308,,,142,,0,,0,,,7,1308,,,142,1,0,0,0,0,0,0,0,0,,,,,1814,,1060,,,
MCO,2018,350005146,350000733,45,16425,3009,83,18916,90,31050,5930,766,19955,,,0,0,0,135,47475,8939,849,38871,21,4,0,,5561,42,14839,,0,,,63,14843,0,,5561,,,,,,,,,,,,,,,,,,,
MCO,2018,350006771,350005179,16,5472,250,4,4410,,,0,0,0,,,0,0,0,16,5472,250,4,4410,,0,,,0,,0,,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCO,2018,350007084,350005179,233,77801,10419,597,74228,36,11929,3043,340,8527,91,32435,6000,190,28396,360,122165,19462,1127,111151,34,3327,,,4754,20,4070,16,2031,,,70,9428,,,4754,0,0,1,0,0,1,0,1,0,,,65,,85075,13490,56170,18,9050,35757
MCO,2018,350030763,350000626,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,,,2254,,0,,0,,,,0,,,2254,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,350032934,350000626,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,,,16879,,0,,0,,,,0,,,16879,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,350040044,350000626,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,,,16722,,0,,0,,,,0,,,16722,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,350041059,350000626,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,,,493,,0,,0,,,,0,,,493,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,350042131,350000626,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,,,3754,,0,,0,,,,0,,,3754,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,350042602,350000626,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,,,5424,,0,,0,,,,0,,,5424,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,350046751,350000626,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,,,17097,,0,,0,,,,0,,,17097,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,360000038,360000046,56,20440,1842,454,15340,,,0,0,0,,,0,0,0,56,20440,1842,454,15340,3,100,,,480,,0,1,28,,,4,128,,,480,1,0,0,1,0,0,1,0,0,,,,,8411,1791,6788,,1661,689
MCO,2018,360000129,360000269,23,8395,253,2,3731,36,13140,2461,2,8016,0,0,0,0,0,59,21535,2714,4,11747,0,0,,,188,27,7430,,0,,,27,7430,,,188,0,0,0,0,0,0,0,0,0,,,,,,,237,,,
MCO,2018,360000137,360000053,262,95630,12744,1276,82982,111,39345,4683,595,25042,40,13870,2675,495,9259,413,148845,20102,2366,117283,25,991,,,6949,8,1748,,0,,,33,2739,,,6949,,,,,,,,,,,,,,92655,10348,91610,1188,386,0
MCO,2018,360000145,360000061,25,9125,658,8,8166,,,0,0,0,,,0,0,0,25,9125,658,8,8166,3,11,,,37,,0,,0,,,3,11,,,37,1,0,0,0,0,0,0,0,0,,,,,3064,144,1509,,5,404
MCO,2018,360000160,360000053,30,10950,1742,129,11318,6,2190,762,112,2776,0,3952,213,51,703,36,17092,2717,292,14797,0,0,,,24,7,1438,,0,,,7,1438,,,24,1,0,0,1,0,1,0,0,1,,,,180,16577,1396,30638,,48,717
MCO,2018,360002133,330031048,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,0,,,22956,,0,,0,,,,0,,,22956,0,0,0,0,0,0,0,0,0,,,,,,,,,,
MCO,2018,360002232,360000541,25,9125,1250,2,7359,,,0,0,0,,,0,0,0,25,9125,1250,2,7359,,0,,,0,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,
MCO,2018,370000051,370000028,4,1460,11,0,101,29,10585,883,20,3717,,,0,0,0,33,12045,894,20,3818,,0,,,23,19,3829,,0,,,19,3829,,,23,,,,,,,,,,,,,,,,,,,
MCO,2018,370000085,370013468,107,39055,7210,1321,29604,30,10950,1698,19,5208,,,0,0,0,137,50005,8908,1340,34812,,0,,,12404,30,8294,,0,,,30,8294,,,12404,,,,,,,,,,,,,,,,,,,
MCO,2018,370000093,370013468,62,22630,4891,246,22439,102,37230,5060,221,17318,,,0,0,0,164,59860,9951,467,39757,,0,,,3052,26,8752,,0,,,26,8752,,,3052,,,,,,,,,,,,,,,,,,,
MCO,2018,370000499,370000481,71,25909,5112,668,17557,50,19227,3828,1168,10223,,,0,0,0,121,45136,8940,1836,27780,11,1545,,,1857,12,2096,,0,,,23,3641,,,1857,1,1,1,1,1,0,1,1,1,,,,,40697,4,45915,1305,,19067
MCO,2018,370000531,370000606,65,23725,4013,459,22246,0,0,0,0,0,15,5475,712,62,2575,80,29200,4725,521,24821,5,82,0,0,1440,0,0,2,65,0,0,7,147,0,0,1440,1,0,0,0,1,1,1,0,0,,80,100,,8742,1646,4822,,1744,4419
MCO,2018,370000580,370000564,25,9125,679,6,6450,,,0,0,0,,,0,0,0,25,9125,679,6,6450,,0,,,0,,0,,0,,,,0,,,0,1,1,1,1,0,0,1,1,1,147,,,140,3326,,10195,,,372
