BEN_RES_DPT,sej_type,type_parcours,SSR_TYPE,nb
59,PTH,CSC,DOM,132
59,PTG,CSC,DOM,101
59,PTG,CSC,HC,86
62,PTH,CSC,DOM,79
33,PTH,CSC,DOM,77
62,PTG,CSC,DOM,70
13,PTG,CSC,HC,69
76,PTH,CSC,DOM,63
29,PTH,CSC,DOM,62
33,PTG,CSC,DOM,60
59,PTH,CSC,HC,59
14,PTH,CSC,DOM,57
56,PTH,CSC,DOM,53
77,PTH,CSC,DOM,53
13,PTH,CSC,DOM,52
45,PTH,CSC,DOM,51
6,PTG,CSC,HC,50
13,PTH,CSC,HC,50
76,PTG,CSC,DOM,47
44,PTH,CSC,DOM,46
62,PTG,CSC,HC,46
6,PTH,CSC,DOM,44
91,PTH,CSC,DOM,42
33,PTG,CSC,HC,41
35,PTH,CSC,DOM,41
40,PTH,CSC,DOM,41
84,PTH,CSC,DOM,41
97,PTG,CSC,HC,41
30,PTH,CSC,DOM,40
34,PTG,CSC,HC,40
91,PTG,CSC,HC,40
31,PTG,CSC,HC,38
34,PTH,CSC,DOM,38
60,PTH,CSC,DOM,37
68,PTH,CSC,DOM,37
78,PTG,CSC,HC,37
94,PTH,CSC,DOM,37
30,PTG,CSC,DOM,36
50,PTH,CSC,DOM,36
64,PTH,CSC,DOM,36
6,PTH,CSC,HC,35
31,PTH,CSC,DOM,35
57,PTG,CSC,DOM,35
75,PTH,CSC,DOM,35
83,PTG,CSC,HC,35
83,PTH,CSC,DOM,35
84,PTG,CSC,DOM,35
56,PTG,CSC,DOM,33
64,PTG,CSC,HC,33
77,PTG,CSC,DOM,33
95,PTH,CSC,DOM,33
13,PTG,CSC,DOM,32
29,PTG,CSC,HC,32
60,PTG,CSC,DOM,32
62,PTH,CSC,HC,32
78,PTH,CSC,DOM,32
2,PTH,CSC,DOM,31
28,PTH,CSC,DOM,31
29,PTH,CSC,HC,31
67,PTG,CSC,DOM,31
17,PTH,CSC,DOM,30
29,PTG,CSC,DOM,30
30,PTG,CSC,HC,30
45,PTG,CSC,HC,30
77,PTG,CSC,HC,30
93,PTH,CSC,DOM,30
27,PTH,CSC,DOM,29
40,PTG,CSC,DOM,29
44,PTG,CSC,DOM,29
67,PTH,CSC,DOM,29
83,PTH,CSC,HC,29
95,PTG,CSC,HC,29
60,PTG,CSC,HC,28
68,PTG,CSC,DOM,28
68,PTG,CSC,HC,28
92,PTG,CSC,HC,28
45,PTG,CSC,DOM,27
75,PTG,CSC,HC,27
24,PTG,CSC,HC,26
31,PTH,CSC,HC,26
66,PTG,CSC,HC,26
92,PTH,CSC,DOM,26
35,PTG,CSC,DOM,25
37,PTH,CSC,DOM,25
38,PTH,CSC,DOM,25
40,PTG,CSC,HC,25
57,PTH,CSC,DOM,25
97,PTG,CSC,DOM,25
24,PTG,CSC,DOM,24
24,PTH,CSC,DOM,24
64,PTG,CSC,DOM,24
68,PTH,CSC,HC,24
74,PTH,CSC,DOM,24
78,PTH,CSC,HC,24
80,PTH,CSC,DOM,24
81,PTG,CSC,DOM,24
83,PTG,CSC,DOM,24
14,PTH,CSC,HC,23
34,PTH,CSC,HC,23
38,PTG,CSC,DOM,23
65,PTH,CSC,DOM,23
93,PTG,CSC,HC,23
94,PTG,CSC,HC,23
97,PTH,CSC,DOM,23
6,PTG,CSC,DOM,22
49,PTG,CSC,DOM,22
49,PTH,CSC,DOM,22
65,PTG,CSC,DOM,22
91,PTH,CSC,HC,22
11,PTG,CSC,HC,21
30,PTH,CSC,HC,21
50,PTG,CSC,HC,21
51,PTH,CSC,DOM,21
72,PTH,CSC,DOM,21
84,PTG,CSC,HC,21
94,PTH,CSC,HC,21
22,PTG,CSC,DOM,20
25,PTH,CSC,DOM,20
33,PTH,CSC,HC,20
56,PTG,CSC,HC,20
64,PTH,CSC,HC,20
78,PTG,CSC,DOM,20
84,PTH,CSC,HC,20
95,PTG,CSC,DOM,20
17,PTG,CSC,HC,19
27,PTG,CSC,HC,19
66,PTH,CSC,DOM,19
70,PTG,CSC,DOM,19
76,PTG,CSC,HC,19
85,PTG,CSC,DOM,19
14,PTG,CSC,DOM,18
17,PTG,CSC,DOM,18
45,PTH,CSC,HC,18
54,PTH,CSC,DOM,18
65,PTG,CSC,HC,18
66,PTG,CSC,DOM,18
69,PTH,CSC,DOM,18
85,PTH,CSC,DOM,18
12,PTG,CSC,HC,17
12,PTH,CSC,DOM,17
22,PTH,CSC,DOM,17
25,PTG,CSC,DOM,17
27,PTG,CSC,DOM,17
38,PTG,CSC,HC,17
42,PTG,CSC,HC,17
77,PTH,CSC,HC,17
81,PTH,CSC,HC,17
89,PTG,CSC,DOM,17
89,PTH,CSC,DOM,17
91,PTG,CSC,DOM,17
93,PTH,CSC,HC,17
95,PTH,CSC,HC,17
10,PTH,CSC,DOM,16
18,PTG,CSC,DOM,16
22,PTH,CSC,HC,16
41,PTH,CSC,DOM,16
50,PTG,CSC,DOM,16
72,PTG,CSC,DOM,16
74,PTG,CSC,DOM,16
79,PTH,CSC,DOM,16
82,PTG,CSC,DOM,16
2,PTG,CSC,DOM,15
8,PTH,CSC,DOM,15
17,PTH,CSC,HC,15
18,PTH,CSC,DOM,15
31,PTG,CSC,DOM,15
34,PTG,CSC,DOM,15
42,PTH,CSC,DOM,15
44,PTG,CSC,HC,15
54,PTG,CSC,DOM,15
81,PTG,CSC,HC,15
81,PTH,CSC,DOM,15
11,PTH,CSC,DOM,14
14,PTG,CSC,HC,14
26,PTG,CSC,DOM,14
35,PTH,CSC,HC,14
50,PTH,CSC,HC,14
51,PTG,CSC,DOM,14
57,PTG,CSC,HC,14
58,PTH,CSC,DOM,14
75,PTH,CSC,HC,14
80,PTG,CSC,HC,14
86,PTG,CSC,DOM,14
94,PTG,CSC,DOM,14
97,PTH,CSC,HC,14
16,PTH,CSC,DOM,13
32,PTG,CSC,HC,13
32,PTH,CSC,DOM,13
40,PTH,CSC,HC,13
47,PTG,CSC,HC,13
54,PTG,CSC,HC,13
61,PTG,CSC,HC,13
66,PTH,CSC,HC,13
71,PTG,CSC,HC,13
75,PTG,CSC,DOM,13
76,PTH,CSC,HC,13
79,PTG,CSC,DOM,13
80,PTH,CSC,HC,13
82,PTH,CSC,DOM,13
83,PTG,CSC,HDJ,13
2,PTG,CSC,HC,12
4,PTH,CSC,HC,12
16,PTG,CSC,HC,12
24,PTH,CSC,HC,12
25,PTG,CSC,HC,12
37,PTG,CSC,HC,12
39,PTH,CSC,DOM,12
51,PTG,CSC,HC,12
56,PTH,CSC,HC,12
60,PTH,CSC,HC,12
74,PTG,CSC,HC,12
87,PTH,CSC,DOM,12
92,PTH,CSC,HC,12
93,PTG,CSC,DOM,12
3,PTG,CSC,DOM,11
3,PTH,CSC,DOM,11
10,PTG,CSC,HC,11
13,PTH,CSC,,11
19,PTH,CSC,DOM,11
27,PTH,CSC,HC,11
28,PTG,CSC,DOM,11
39,PTG,CSC,DOM,11
44,PTH,CSC,HC,11
67,PTH,CSC,HC,11
85,PTG,CSC,HC,11
86,PTH,CSC,DOM,11
7,PTH,CSC,DOM,10
8,PTG,CSC,DOM,10
13,PTG,CSC,HDJ,10
20,PTG,CSC,HC,10
21,PTH,CSC,DOM,10
25,PTH,CSC,HC,10
28,PTG,CSC,HC,10
37,PTH,CSC,HC,10
41,PTG,CSC,HC,10
49,PTG,CSC,HC,10
58,PTG,CSC,DOM,10
61,PTH,CSC,DOM,10
65,PTH,CSC,HC,10
69,PTG,CSC,HDJ,10
70,PTG,CSC,HC,10
71,PTH,CSC,DOM,10
88,PTG,CSC,DOM,10
91,PTG,CSC,HDJ,10
1,PTG,CSC,DOM,9
1,PTG,CSC,HC,9
9,PTG,CSC,HC,9
11,PTH,CSC,HC,9
19,PTG,CSC,DOM,9
26,PTH,CSC,DOM,9
38,PTH,CSC,HC,9
41,PTG,CSC,DOM,9
42,PTG,CSC,DOM,9
42,PTH,CSC,HC,9
47,PTH,CSC,DOM,9
58,PTG,CSC,HC,9
59,PTH,CSC,,9
63,PTG,CSC,DOM,9
63,PTH,CSC,DOM,9
69,PTG,CSC,DOM,9
69,PTH,CSC,HC,9
72,PTG,CSC,HC,9
73,PTH,CSC,DOM,9
79,PTH,CSC,HC,9
89,PTG,CSC,HC,9
89,PTH,CSC,HC,9
10,PTH,CSC,HC,8
16,PTH,CSC,HC,8
18,PTH,CSC,HC,8
20,PTH,CSC,DOM,8
22,PTG,CSC,HC,8
26,PTH,CSC,HC,8
36,PTG,CSC,HC,8
37,PTG,CSC,DOM,8
43,PTH,CSC,HC,8
47,PTG,CSC,DOM,8
57,PTG,CSC,HDJ,8
67,PTG,CSC,HC,8
69,PTG,CSC,HC,8
70,PTH,CSC,DOM,8
70,PTH,CSC,HC,8
77,PTG,CSC,HDJ,8
78,PTG,CSC,HDJ,8
79,PTG,CSC,HC,8
80,PTG,CSC,DOM,8
82,PTG,CSC,HC,8
3,PTH,CSC,HC,7
4,PTH,CSC,DOM,7
12,PTG,CSC,DOM,7
12,PTH,CSC,HC,7
16,PTG,CSC,DOM,7
19,PTG,CSC,HC,7
28,PTH,CSC,HC,7
35,PTG,CSC,HC,7
43,PTH,CSC,DOM,7
46,PTH,CSC,DOM,7
47,PTH,CSC,HC,7
51,PTH,CSC,HC,7
52,PTG,CSC,DOM,7
55,PTH,CSC,DOM,7
68,PTG,CSC,HDJ,7
78,PTG,CSC,HC_HDJ,7
82,PTH,CSC,HC,7
83,PTH,CSC,HDJ,7
85,PTH,CSC,HC,7
88,PTG,CSC,HC,7
88,PTH,CSC,DOM,7
1,PTH,CSC,DOM,6
3,PTG,CSC,HC,6
6,PTG,CSC,,6
6,PTH,CSC,HDJ,6
7,PTG,CSC,DOM,6
7,PTG,CSC,HC,6
10,PTG,CSC,DOM,6
18,PTG,CSC,HC,6
21,PTG,CSC,DOM,6
21,PTG,CSC,HC,6
31,PTG,CSC,HDJ,6
32,PTH,CSC,HC,6
36,PTG,CSC,DOM,6
43,PTG,CSC,HC,6
48,PTG,CSC,HC,6
52,PTH,CSC,DOM,6
57,PTH,CSC,HC,6
63,PTG,CSC,HC,6
64,PTH,CSC,,6
72,PTH,CSC,HC,6
74,PTH,CSC,HC,6
75,PTG,CSC,,6
92,PTG,CSC,,6
99,PTG,CSC,DOM,6
2,PTH,CSC,HC,5
5,PTH,CSC,HC,5
13,PTH,CSC,HDJ,5
20,PTG,CSC,DOM,5
23,PTG,CSC,DOM,5
32,PTG,CSC,DOM,5
33,PTG,CSC,,5
34,PTG,CSC,HC_HDJ,5
36,PTH,CSC,DOM,5
36,PTH,CSC,HC,5
39,PTH,CSC,HC,5
43,PTG,CSC,DOM,5
53,PTG,CSC,DOM,5
59,PTG,CSC,HDJ,5
61,PTG,CSC,DOM,5
61,PTH,CSC,HC,5
73,PTG,CSC,DOM,5
73,PTG,CSC,HC,5
77,PTG,CSC,HC_HDJ,5
84,PTG,CSC,HDJ,5
91,PTG,CSC,HC_HDJ,5
92,PTH,CSC,,5
93,PTG,CSC,,5
94,PTG,CSC,,5
95,PTG,CSC,,5
1,PTH,CSC,HC,4
4,PTG,CSC,HC,4
9,PTH,CSC,HC,4
11,PTG,CSC,DOM,4
13,PTG,CSC,,4
18,PTG,CSC,HDJ,4
19,PTH,CSC,HC,4
21,PTH,CSC,HC,4
26,PTG,CSC,HC,4
29,PTH,CSC,,4
30,PTG,CSC,HDJ,4
34,PTH,CSC,,4
39,PTG,CSC,HC,4
46,PTG,CSC,HC,4
49,PTH,CSC,HC,4
50,PTH,CSC,,4
53,PTH,CSC,DOM,4
54,PTH,CSC,HC,4
59,PTG,CSC,,4
71,PTG,CSC,DOM,4
78,PTH,CSC,,4
83,PTG,CSC,,4
86,PTG,CSC,HC,4
87,PTG,CSC,DOM,4
99,PTG,CSC,HC,4
2,PTG,CSC,,3
4,PTG,CSC,DOM,3
4,PTG,CSC,HC_HDJ,3
5,PTG,CSC,DOM,3
5,PTG,CSC,HDJ,3
6,PTH,CSC,,3
7,PTH,CSC,HC,3
9,PTH,CSC,DOM,3
11,PTG,CSC,HDJ,3
14,PTG,CSC,HDJ,3
15,PTG,CSC,HC,3
15,PTH,CSC,DOM,3
23,PTG,CSC,HC,3
23,PTH,CSC,DOM,3
41,PTH,CSC,HC,3
45,PTG,CSC,,3
48,PTH,CSC,HC,3
55,PTG,CSC,DOM,3
57,PTG,CSC,,3
58,PTH,CSC,HC,3
62,PTG,CSC,,3
63,PTH,CSC,HC,3
64,PTG,CSC,HDJ,3
65,PTG,CSC,HDJ,3
68,PTH,CSC,,3
68,PTH,CSC,HDJ,3
75,PTG,CSC,HDJ,3
80,PTH,CSC,,3
87,PTH,CSC,HC,3
88,PTH,CSC,HC,3
92,PTG,CSC,DOM,3
92,PTG,CSC,HC_HDJ,3
92,PTG,CSC,HDJ,3
93,PTH,CSC,,3
94,PTG,CSC,HC_HDJ,3
95,PTG,CSC,HC_HDJ,3
99,PTH,CSC,HC,3
209,PTG,CSC,DOM,3
209,PTH,CSC,DOM,3
5,PTG,CSC,HC,2
5,PTH,CSC,DOM,2
8,PTG,CSC,HC,2
9,PTG,CSC,DOM,2
10,PTG,CSC,HDJ,2
11,PTH,CSC,,2
13,PTG,CSC,HC_HDJ,2
14,PTG,CSC,,2
14,PTG,CSC,HC_HDJ,2
16,PTH,CSC,,2
17,PTH,CSC,,2
20,PTH,CSC,HC,2
21,PTG,CSC,,2
22,PTH,CSC,,2
24,PTH,CSC,,2
26,PTH,CSC,,2
27,PTG,CSC,,2
29,PTG,CSC,,2
29,PTG,CSC,HC_HDJ,2
31,PTG,CSC,,2
31,PTG,CSC,HC_HDJ,2
31,PTH,CSC,HC_HDJ,2
31,PTH,CSC,HDJ,2
38,PTG,CSC,,2
42,PTH,CSC,HDJ,2
46,PTG,CSC,,2
48,PTG,CSC,DOM,2
48,PTH,CSC,DOM,2
50,PTG,CSC,,2
50,PTG,CSC,HDJ,2
51,PTG,CSC,,2
52,PTG,CSC,HC,2
52,PTH,CSC,HC,2
53,PTG,CSC,HC,2
54,PTG,CSC,HDJ,2
56,PTG,CSC,,2
56,PTH,CSC,,2
59,PTG,CSC,HC_HDJ,2
60,PTG,CSC,,2
60,PTH,CSC,,2
62,PTH,CSC,,2
65,PTG,CSC,,2
69,PTG,CSC,HC_HDJ,2
71,PTH,CSC,HC,2
73,PTH,CSC,HC,2
75,PTG,CSC,HC_HDJ,2
77,PTH,CSC,HC_HDJ,2
78,PTG,CSC,,2
80,PTG,CSC,,2
80,PTG,CSC,HDJ,2
81,PTG,CSC,HC_HDJ,2
83,PTH,CSC,,2
84,PTG,CSC,,2
86,PTH,CSC,HC,2
87,PTG,CSC,HDJ,2
90,PTG,CSC,DOM,2
90,PTH,CSC,DOM,2
91,PTH,CSC,,2
93,PTG,CSC,HC_HDJ,2
95,PTH,CSC,,2
97,PTG,CSC,,2
97,PTG,CSC,HDJ,2
99,PTG,CSC,HDJ,2
99,PTH,CSC,DOM,2
209,PTG,CSC,HC,2
1,PTG,CSC,HDJ,1
1,PTH,CSC,,1
2,PTG,CSC,HDJ,1
2,PTH,CSC,,1
4,PTG,CSC,,1
5,PTG,CSC,HC_HDJ,1
6,PTG,CSC,HDJ,1
7,PTG,CSC,HDJ,1
8,PTH,CSC,HC,1
9,PTH,CSC,,1
10,PTG,CSC,,1
10,PTG,CSC,HC_HDJ,1
11,PTH,CSC,HDJ,1
14,PTH,CSC,,1
15,PTG,CSC,HC_HDJ,1
15,PTH,CSC,HC,1
15,PTH,CSC,HC_HDJ,1
17,PTG,CSC,HDJ,1
18,PTH,CSC,,1
19,PTG,CSC,,1
20,PTG,CSC,HC_HDJ,1
20,PTG,CSC,HDJ,1
20,PTH,CSC,,1
22,PTG,CSC,,1
23,PTH,CSC,HC,1
24,PTG,CSC,,1
25,PTG,CSC,,1
27,PTG,CSC,HDJ,1
27,PTH,CSC,,1
28,PTH,CSC,HDJ,1
29,PTG,CSC,HDJ,1
29,PTH,CSC,HC_HDJ,1
29,PTH,CSC,HDJ,1
31,PTH,CSC,,1
32,PTH,CSC,,1
33,PTH,CSC,HC_HDJ,1
34,PTG,CSC,,1
34,PTG,CSC,HDJ,1
34,PTH,CSC,HC_HDJ,1
35,PTG,CSC,,1
35,PTG,CSC,HDJ,1
35,PTH,CSC,,1
37,PTG,CSC,HC_HDJ,1
38,PTH,CSC,,1
38,PTH,CSC,HDJ,1
39,PTG,CSC,,1
40,PTG,CSC,HC_HDJ,1
40,PTG,CSC,HDJ,1
40,PTH,CSC,HC_HDJ,1
41,PTG,CSC,,1
41,PTG,CSC,HC_HDJ,1
42,PTG,CSC,,1
42,PTH,CSC,,1
43,PTG,CSC,HC_HDJ,1
44,PTG,CSC,HC_HDJ,1
44,PTG,CSC,HDJ,1
44,PTH,CSC,,1
45,PTG,CSC,HC_HDJ,1
45,PTH,CSC,,1
46,PTH,CSC,,1
46,PTH,CSC,HC,1
49,PTH,CSC,,1
49,PTH,CSC,HC_HDJ,1
50,PTG,CSC,HC_HDJ,1
51,PTH,CSC,,1
52,PTH,CSC,,1
53,PTH,CSC,HC,1
54,PTG,CSC,,1
54,PTH,CSC,,1
54,PTH,CSC,HC_HDJ,1
55,PTG,CSC,HC,1
55,PTH,CSC,HC,1
55,PTH,CSC,HC_HDJ,1
56,PTG,CSC,HDJ,1
57,PTH,CSC,,1
58,PTH,CSC,,1
60,PTG,CSC,HDJ,1
60,PTH,CSC,HC_HDJ,1
61,PTH,CSC,,1
63,PTG,CSC,HDJ,1
64,PTG,CSC,,1
65,PTG,CSC,HC_HDJ,1
65,PTH,CSC,HC_HDJ,1
65,PTH,CSC,HDJ,1
66,PTG,CSC,,1
66,PTG,CSC,HDJ,1
66,PTH,CSC,HC_HDJ,1
67,PTG,CSC,HDJ,1
68,PTG,CSC,HC_HDJ,1
68,PTH,CSC,HC_HDJ,1
69,PTH,CSC,,1
69,PTH,CSC,HDJ,1
71,PTH,CSC,,1
72,PTH,CSC,,1
73,PTG,CSC,,1
73,PTG,CSC,HDJ,1
73,PTH,CSC,,1
74,PTG,CSC,HDJ,1
74,PTH,CSC,,1
74,PTH,CSC,HDJ,1
75,PTH,CSC,,1
76,PTG,CSC,HC_HDJ,1
76,PTG,CSC,HDJ,1
76,PTH,CSC,,1
78,PTH,CSC,HDJ,1
79,PTG,CSC,,1
81,PTG,CSC,,1
81,PTG,CSC,HDJ,1
81,PTH,CSC,,1
81,PTH,CSC,HDJ,1
82,PTG,CSC,HDJ,1
84,PTG,CSC,HC_HDJ,1
84,PTH,CSC,,1
85,PTH,CSC,,1
87,PTG,CSC,,1
87,PTG,CSC,HC,1
88,PTH,CSC,,1
89,PTG,CSC,,1
89,PTH,CSC,HC_HDJ,1
91,PTG,CSC,,1
91,PTH,CSC,HC_HDJ,1
91,PTH,CSC,HDJ,1
93,PTG,CSC,HDJ,1
93,PTH,CSC,HDJ,1
94,PTG,CSC,HDJ,1
97,PTH,CSC,,1
97,PTH,CSC,HDJ,1
99,PTH,CSC,,1
209,PTH,CSC,HC,1
991,PTG,CSC,DOM,1
999,PTG,CSC,DOM,1
33,PTH,CSC + DERMA,DOM,17
59,PTH,CSC + DERMA,DOM,15
59,PTG,CSC + DERMA,DOM,13
13,PTG,CSC + DERMA,HC,10
13,PTH,CSC + DERMA,HC,9
76,PTH,CSC + DERMA,DOM,8
76,PTG,CSC + DERMA,DOM,7
13,PTG,CSC + DERMA,DOM,5
29,PTG,CSC + DERMA,HC,5
33,PTG,CSC + DERMA,DOM,5
51,PTG,CSC + DERMA,DOM,5
59,PTH,CSC + DERMA,HC,5
62,PTH,CSC + DERMA,DOM,5
68,PTG,CSC + DERMA,HC,5
78,PTH,CSC + DERMA,HC,5
3,PTH,CSC + DERMA,DOM,4
6,PTG,CSC + DERMA,DOM,4
6,PTG,CSC + DERMA,HC,4
6,PTH,CSC + DERMA,DOM,4
13,PTH,CSC + DERMA,DOM,4
28,PTH,CSC + DERMA,DOM,4
29,PTH,CSC + DERMA,DOM,4
31,PTG,CSC + DERMA,HC,4
35,PTH,CSC + DERMA,DOM,4
40,PTH,CSC + DERMA,DOM,4
45,PTH,CSC + DERMA,DOM,4
50,PTH,CSC + DERMA,DOM,4
59,PTG,CSC + DERMA,HC,4
68,PTH,CSC + DERMA,DOM,4
69,PTG,CSC + DERMA,HC,4
75,PTH,CSC + DERMA,DOM,4
84,PTG,CSC + DERMA,DOM,4
91,PTG,CSC + DERMA,HC,4
94,PTH,CSC + DERMA,DOM,4
2,PTG,CSC + DERMA,DOM,3
9,PTG,CSC + DERMA,HC,3
10,PTG,CSC + DERMA,DOM,3
14,PTH,CSC + DERMA,HC,3
18,PTG,CSC + DERMA,DOM,3
24,PTG,CSC + DERMA,HC,3
29,PTG,CSC + DERMA,DOM,3
30,PTG,CSC + DERMA,HC,3
37,PTH,CSC + DERMA,DOM,3
38,PTG,CSC + DERMA,DOM,3
44,PTH,CSC + DERMA,DOM,3
54,PTG,CSC + DERMA,HC,3
57,PTG,CSC + DERMA,DOM,3
60,PTH,CSC + DERMA,DOM,3
62,PTG,CSC + DERMA,HC,3
64,PTG,CSC + DERMA,HC,3
67,PTG,CSC + DERMA,DOM,3
67,PTH,CSC + DERMA,DOM,3
75,PTG,CSC + DERMA,DOM,3
75,PTG,CSC + DERMA,HC,3
77,PTG,CSC + DERMA,DOM,3
78,PTH,CSC + DERMA,DOM,3
91,PTG,CSC + DERMA,HDJ,3
92,PTG,CSC + DERMA,HC,3
94,PTG,CSC + DERMA,DOM,3
95,PTH,CSC + DERMA,DOM,3
3,PTG,CSC + DERMA,HC,2
16,PTG,CSC + DERMA,HC,2
17,PTG,CSC + DERMA,DOM,2
18,PTH,CSC + DERMA,DOM,2
24,PTG,CSC + DERMA,DOM,2
24,PTH,CSC + DERMA,DOM,2
25,PTG,CSC + DERMA,DOM,2
25,PTG,CSC + DERMA,HC,2
26,PTG,CSC + DERMA,DOM,2
26,PTG,CSC + DERMA,HC,2
29,PTH,CSC + DERMA,HC,2
30,PTH,CSC + DERMA,DOM,2
31,PTG,CSC + DERMA,DOM,2
32,PTG,CSC + DERMA,HC,2
32,PTH,CSC + DERMA,HC,2
33,PTG,CSC + DERMA,HC,2
34,PTG,CSC + DERMA,DOM,2
34,PTG,CSC + DERMA,HC,2
34,PTH,CSC + DERMA,DOM,2
35,PTG,CSC + DERMA,DOM,2
35,PTG,CSC + DERMA,HC,2
37,PTG,CSC + DERMA,DOM,2
37,PTG,CSC + DERMA,HC,2
37,PTH,CSC + DERMA,HC,2
38,PTH,CSC + DERMA,DOM,2
39,PTG,CSC + DERMA,DOM,2
42,PTG,CSC + DERMA,HC,2
43,PTH,CSC + DERMA,HC,2
44,PTG,CSC + DERMA,DOM,2
45,PTG,CSC + DERMA,HC,2
49,PTH,CSC + DERMA,DOM,2
49,PTH,CSC + DERMA,HC,2
50,PTG,CSC + DERMA,HC,2
54,PTG,CSC + DERMA,DOM,2
57,PTH,CSC + DERMA,HC,2
62,PTG,CSC + DERMA,DOM,2
63,PTH,CSC + DERMA,DOM,2
63,PTH,CSC + DERMA,HC,2
64,PTH,CSC + DERMA,DOM,2
64,PTH,CSC + DERMA,HC,2
65,PTG,CSC + DERMA,DOM,2
65,PTH,CSC + DERMA,DOM,2
66,PTG,CSC + DERMA,DOM,2
66,PTH,CSC + DERMA,DOM,2
68,PTG,CSC + DERMA,DOM,2
68,PTH,CSC + DERMA,HC,2
70,PTH,CSC + DERMA,DOM,2
72,PTG,CSC + DERMA,DOM,2
74,PTH,CSC + DERMA,HC,2
77,PTH,CSC + DERMA,DOM,2
77,PTH,CSC + DERMA,HC,2
78,PTG,CSC + DERMA,HC_HDJ,2
81,PTH,CSC + DERMA,HC,2
82,PTG,CSC + DERMA,DOM,2
83,PTG,CSC + DERMA,DOM,2
83,PTG,CSC + DERMA,HC,2
83,PTH,CSC + DERMA,DOM,2
83,PTH,CSC + DERMA,HDJ,2
84,PTH,CSC + DERMA,DOM,2
91,PTG,CSC + DERMA,HC_HDJ,2
91,PTH,CSC + DERMA,DOM,2
91,PTH,CSC + DERMA,HC,2
92,PTG,CSC + DERMA,DOM,2
97,PTG,CSC + DERMA,DOM,2
97,PTG,CSC + DERMA,HC,2
1,PTG,CSC + DERMA,HC,1
1,PTH,CSC + DERMA,HC,1
2,PTG,CSC + DERMA,HDJ,1
2,PTH,CSC + DERMA,DOM,1
3,PTG,CSC + DERMA,DOM,1
5,PTH,CSC + DERMA,,1
7,PTG,CSC + DERMA,DOM,1
8,PTG,CSC + DERMA,DOM,1
8,PTG,CSC + DERMA,HC,1
10,PTH,CSC + DERMA,DOM,1
11,PTG,CSC + DERMA,HC,1
11,PTH,CSC + DERMA,DOM,1
11,PTH,CSC + DERMA,HC,1
12,PTG,CSC + DERMA,HC,1
12,PTH,CSC + DERMA,HC,1
13,PTH,CSC + DERMA,HDJ,1
14,PTH,CSC + DERMA,,1
14,PTH,CSC + DERMA,DOM,1
17,PTG,CSC + DERMA,HC,1
18,PTH,CSC + DERMA,HC,1
19,PTH,CSC + DERMA,DOM,1
19,PTH,CSC + DERMA,HC,1
20,PTH,CSC + DERMA,HC,1
21,PTH,CSC + DERMA,HC,1
22,PTG,CSC + DERMA,HC,1
24,PTH,CSC + DERMA,HC,1
25,PTH,CSC + DERMA,DOM,1
26,PTH,CSC + DERMA,DOM,1
26,PTH,CSC + DERMA,HC,1
27,PTG,CSC + DERMA,DOM,1
27,PTH,CSC + DERMA,DOM,1
28,PTG,CSC + DERMA,DOM,1
28,PTG,CSC + DERMA,HC,1
28,PTH,CSC + DERMA,HC,1
31,PTG,CSC + DERMA,HDJ,1
31,PTH,CSC + DERMA,DOM,1
31,PTH,CSC + DERMA,HC,1
31,PTH,CSC + DERMA,HDJ,1
33,PTG,CSC + DERMA,,1
34,PTH,CSC + DERMA,HC,1
36,PTG,CSC + DERMA,HC,1
38,PTG,CSC + DERMA,HC,1
38,PTH,CSC + DERMA,HC,1
39,PTG,CSC + DERMA,HC,1
40,PTG,CSC + DERMA,DOM,1
40,PTH,CSC + DERMA,HC,1
41,PTG,CSC + DERMA,DOM,1
41,PTG,CSC + DERMA,HC,1
42,PTG,CSC + DERMA,HC_HDJ,1
42,PTH,CSC + DERMA,HC,1
44,PTG,CSC + DERMA,HC,1
44,PTH,CSC + DERMA,HC,1
45,PTH,CSC + DERMA,HC,1
47,PTG,CSC + DERMA,HC,1
47,PTH,CSC + DERMA,DOM,1
47,PTH,CSC + DERMA,HC,1
48,PTG,CSC + DERMA,HC,1
49,PTG,CSC + DERMA,HC,1
50,PTG,CSC + DERMA,DOM,1
50,PTG,CSC + DERMA,HDJ,1
51,PTG,CSC + DERMA,HC,1
51,PTH,CSC + DERMA,DOM,1
52,PTH,CSC + DERMA,DOM,1
53,PTH,CSC + DERMA,DOM,1
54,PTG,CSC + DERMA,HC_HDJ,1
54,PTH,CSC + DERMA,DOM,1
54,PTH,CSC + DERMA,HC,1
56,PTG,CSC + DERMA,DOM,1
56,PTH,CSC + DERMA,DOM,1
57,PTH,CSC + DERMA,DOM,1
59,PTG,CSC + DERMA,,1
59,PTG,CSC + DERMA,HDJ,1
60,PTG,CSC + DERMA,DOM,1
60,PTH,CSC + DERMA,HC,1
61,PTG,CSC + DERMA,DOM,1
64,PTG,CSC + DERMA,DOM,1
65,PTG,CSC + DERMA,HC,1
65,PTH,CSC + DERMA,HC,1
66,PTG,CSC + DERMA,,1
66,PTG,CSC + DERMA,HC,1
66,PTH,CSC + DERMA,HC,1
67,PTG,CSC + DERMA,HC,1
67,PTH,CSC + DERMA,,1
67,PTH,CSC + DERMA,HC,1
68,PTG,CSC + DERMA,HDJ,1
69,PTG,CSC + DERMA,DOM,1
70,PTG,CSC + DERMA,DOM,1
